"id","user_id","typeid","area_code","name","phone","owner_name","owner_phone","contact_person_position","contact_person_fname","contact_person_lname","address","city","state","zip","details","description","logo","banner","website","email","latitude","longitude","review_avg","review_count","created","modified","modified_by","delivery_distance","delivery","takeaway","reservation","delivery_fee","status","opening_time","closing_time","table_pricing","taxes","total_avr","commission_qr","commission_del","commission_pick","commission_tr",
"622","2","a:1:{i:0;s:1:&quot;1&quot;;}","","Buffet Hutt","0172 4001213","Mr. Rajesh","9877789","","","","SCO 143 &amp;amp;amp; 144, Madhya Marg, Sector 9-C, Sector 9 ","Chandigarh","Punjab","160025","","pocket friendly, elaborate buffets.","409583-buffet-hut.PNG","","buffethut.com","rajdep@gfgmo.com","41.639805","-72.089724","4","50","2016-09-30 18:36:56","2016-09-30 18:37:22","0","10","1","1","1","20","1","00:00:00","00:00:00","6","12.5","","","","","",
"624","2","a:3:{i:0;s:1:&quot;1&quot;;i:1;s:1:&quot;4&quot;;i:2;s:1:&quot;3&quot;;}","","Ginger Chandigarh"," 0172 300 7777","Mr. Lalit"," 0172 300 7777","","","","kuwait","kuwait","kuwait","","","Just the ambience and quality of food.","r1.jpg","hotel.png","thelalit.com","rajdep@gfgmo.com","29.375859","47.9774052","4","2","2016-10-20 18:19:54","2016-10-20 18:20:20","0","","1","0","0","10","1","00:00:00","00:00:00","8","12.5","","2","2","2","2",
"625","2","a:2:{i:0;s:1:&quot;1&quot;;i:1;s:1:&quot;4&quot;;}","","jw-marriot","jw-marriot","himanshi","8950578343","","","","Plot no: 6, B, Dakshin Marg, Sector 35, Chandigarh, 160035","chandigarh","chandigarh","160101","","five star hotel","r2.jpg","150435Lighthouse.jpg","abc.com","abc@gmal.com","30.729551","76.7656294","4","3","2016-10-12 20:23:53","2016-10-12 20:24:10","0","10","1","1","1","15","1","00:00:00","00:00:00","15","10","","2","3","4","5",
"628","457","a:1:{i:0;s:1:&quot;1&quot;;}","","The Altius Hotel","8054209600","babita","08054209600","","","","Plot No. 25/9, Dakshin Marg, Industrial Area Phase-II,  ","Chandigarh","Punjab","160002","","asdf","r3.jpg","121425Chrysanthemum.jpg","asdf","rajdep@gfgmo.com","30.6999906","76.7936264","2","10","2016-10-20 12:13:38","2016-10-20 12:14:25","0","","1","1","1","10","1","00:00:00","00:00:00","7","12.5","","2","2","2","2",
"70","0","","","test","","","","","","","","","","","","tesing ","","","","","","","0","0","2016-09-19 18:05:29","2016-09-19 18:05:29","0","","0","0","0","","0","00:00:00","00:00:00","10","12.5","","","","","",
"72","0","","","Cold Drink","","","","","","","","","","","","&amp;lt;p&amp;gt;Fanta Dew&amp;lt;/p&amp;gt;
","","","","","","","0","0","2016-09-22 12:07:55","2016-10-27 16:13:53","0","","0","0","0","","0","00:00:00","00:00:00","10","12.5","","","","","",
"632","2","a:1:{i:0;s:1:&quot;1&quot;;}","","Swagath","0172 4001213","rahul","08054209600","","",""," SCO 7, Sector 26, Madhya Marg, Chandigarh, 160019","Chandigarh","Punjab","160020","","Authentic Food taste.","restaurant.jpg","","g.com","rajdep@gfgmo.com","30.7271872","76.8039208","0","11","2016-09-30 18:37:12","2016-10-01 16:20:42","0","12","1","0","1","20","1","00:00:00","00:00:00","12","12.5","0","","","","",
"633","2","a:1:{i:0;s:1:&quot;1&quot;;}","","Sundarams South Indian Food","897008","sandeep","98098-","","","","SCO 7, Sector 26, Madhya Marg","chandigarh","chnadigarh","160101","","nice .....hotel..","n1.jpg","","sic.com","sic@gmail.com","30.726216","76.8049157","3","30","2016-09-30 18:37:12","2016-09-30 18:37:50","0","6","1","0","1","10","1","00:00:00","00:00:00","10","12.5","","","","","",
"634","2","a:1:{i:0;s:1:&quot;1&quot;;}","","Hlavna resort","6679080","manisha","770890679","","","","Hlavna 81, Kosice 040 01, Slovakia","kosice","kosice","79808-0","","nice...","grand-hotel-excelsior_masthead.jpg","hotel.png","sdc.com","sdc@gmail.com","48.7234022","21.2569001","1","60","2016-10-28 11:55:19","2016-10-28 11:55:40","0","4","1","1","0","15","1","06:00:00","12:00:00","9","12.5","","","","","",
"635","2","a:1:{i:0;s:1:&quot;1&quot;;}","","Republika Vychodu","56586","seiku","79089","","","","Hlavna 31, Kosice 040 01, Slovakia","kosice","slovakia","7698789","","nice","063445r5.jpg","","abc.com","abc@gmal.com","48.7202034","21.258917","3","0","2016-08-19 06:33:53","2016-09-30 20:02:55","0","7","1","0","0","10","1","00:00:00","00:00:00","11","12.5","","","","","",
